ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	enrichID	Count	rich_factor	Gene_Ratio	fold_enrichment	Class_A	Class_B
map00650	Butanoate metabolism	8/1218	25/5827	0.132548115893461	0.840554534197974	0.791139145220788	FBgn0040349/FBgn0029969/FBgn0031774/FBgn0032729/FBgn0037999/FBgn0035203/FBgn0039737/FBgn0051549	8	0.32	0.00656814449917898	1.53090311986864	Metabolism	Carbohydrate metabolism
map00730	Thiamine metabolism	8/1218	25/5827	0.132548115893461	0.840554534197974	0.791139145220788	FBgn0022709/FBgn0035620/FBgn0035619/FBgn0051469/FBgn0040077/FBgn0037046/FBgn0038655/FBgn0033422	8	0.32	0.00656814449917898	1.53090311986864	Metabolism	Metabolism of cofactors and vitamins
map00740	Riboflavin metabolism	4/1218	11/5827	0.181498473140405	0.944318142860949	0.888802591580017	FBgn0014930/FBgn0051469/FBgn0040077/FBgn0038655	4	0.363636363636364	0.00328407224958949	1.73966263621436	Metabolism	Metabolism of cofactors and vitamins
map00760	Nicotinate and nicotinamide metabolism	5/1218	23/5827	0.542739826784219	0.999999999076521	0.94121096526481	FBgn0259101/FBgn0034225/FBgn0050104/FBgn0037802/FBgn0033373	5	0.217391304347826	0.00410509031198686	1.0400157064325	Metabolism	Metabolism of cofactors and vitamins
map00770	Pantothenate and CoA biosynthesis	5/1218	16/5827	0.229350207917466	0.982010594221112	0.924279140140674	FBgn0004516/FBgn0086450/FBgn0030482/FBgn0035632/FBgn0052099	5	0.3125	0.00410509031198686	1.49502257799672	Metabolism	Metabolism of cofactors and vitamins
map00780	Biotin metabolism	2/1218	5/5827	0.281275368559574	0.999999999076521	0.94121096526481	FBgn0040069/FBgn0052750	2	0.4	0.00164203612479475	1.9136288998358	Metabolism	Metabolism of cofactors and vitamins
map00790	Folate biosynthesis	10/1218	46/5827	0.502637262723008	0.999999999076521	0.94121096526481	FBgn0003162/FBgn0030041/FBgn0036290/FBgn0035620/FBgn0035619/FBgn0005626/FBgn0003141/FBgn0086348/FBgn0024920/FBgn0033422	10	0.217391304347826	0.00821018062397373	1.0400157064325	Metabolism	Metabolism of cofactors and vitamins
map00860	Porphyrin metabolism	11/1218	56/5827	0.64447677749146	0.999999999076521	0.94121096526481	FBgn0015221/FBgn0015222/FBgn0032684/FBgn0027073/FBgn0040255/FBgn0026314/FBgn0038083/FBgn0005674/FBgn0040257/FBgn0027070/FBgn0026756	11	0.196428571428571	0.0090311986863711	0.939728477597936	Metabolism	Metabolism of cofactors and vitamins
map00900	Terpenoid backbone biosynthesis	9/1218	32/5827	0.210185046687452	0.979953659231108	0.922343130371458	FBgn0069973/FBgn0031775/FBgn0036380/FBgn0029969/FBgn0030073/FBgn0031774/FBgn0035203/FBgn0031633/FBgn0038876	9	0.28125	0.00738916256157635	1.34552032019704	Metabolism	Metabolism of terpenoids and polyketides
map00910	Nitrogen metabolism	7/1218	22/5827	0.158022313628326	0.915000170847887	0.861208194816513	FBgn0039486/FBgn0052698/FBgn0037788/FBgn0029962/FBgn0037646/FBgn0038956/FBgn0030056	7	0.318181818181818	0.00574712643678161	1.52220480668757	Metabolism	Energy metabolism
map00920	Sulfur metabolism	4/1218	8/5827	0.0648075320782537	0.553950095621264	0.52138390468971	FBgn0038115/FBgn0035515/FBgn0020389/FBgn0030465	4	0.5	0.00328407224958949	2.39203612479475	Metabolism	Energy metabolism
map00970	Aminoacyl-tRNA biosynthesis	6/1218	42/5827	0.899081919870799	0.999999999076521	0.94121096526481	FBgn0027082/FBgn0005674/FBgn0027084/FBgn0027083/FBgn0027088/FBgn0031041	6	0.142857142857143	0.00492610837438424	0.683438892798499	Genetic Information Processing	Translation
