ID	shape	color	size
Aarg13G010540	tran	down	-2.60425676959074
Aarg13G026380	tran	down	-4.35546954000471
Aarg13G031740	tran	down	-4.17635148266501
Aarg13G034030	tran	down	-10.349519212659
Aarg13G035510	tran	down	-3.05808190863488
Aarg13G036200	tran	down	-4.07992531870696
Aarg13G036600	tran	down	-3.05112936548065
Aarg13G037280	tran	down	-3.84752583587124
Aarg14G001840	tran	down	-4.90523202262849
Aarg14G004000	tran	down	-2.67851461325101
Aarg14G005310	tran	down	-3.08681113517626
Aarg14G005600	tran	down	-3.11781358893623
Aarg14G009650	tran	down	-5.96689496688288
Aarg14G010190	tran	down	-3.12603351083506
Aarg14G020900	tran	up	6.83402881697033
Aarg14G029890	tran	up	4.10881892668287
Aarg15G001390	tran	down	-4.95391425227687
Aarg15G003660	tran	down	-4.45270928261838
Aarg15G005930	tran	down	-3.27650905885906
Aarg15G006280	tran	down	-6.25925187593844
Aarg15G006560	tran	down	-4.65349691226243
Aarg15G007130	tran	down	-4.41427482906921
Aarg15G009850	tran	down	-5.69276708312888
Aarg15G009910	tran	down	-4.00008729121821
Aarg15G012740	tran	down	-3.27942026572818
Aarg15G016200	tran	down	-4.52535536819112
Aarg15G018280	tran	down	-4.22263652555323
Aarg15G019550	tran	down	-3.38102401842104
Aarg15G021600	tran	down	-2.82257946999427
Aarg15G021660	tran	down	-3.30160227712337
Aarg15G022580	tran	down	-3.53482115626149
Aarg15G025070	tran	down	-6.37740679715808
Aarg15G025080	tran	down	-7.61373590644901
Aarg15G025090	tran	down	-9.98889947963815
Aarg15G025100	tran	down	-7.66467775907788
Aarg15G025610	tran	down	-4.59112288454064
Aarg16G000060	tran	down	-2.6732702818792
Aarg16G005520	tran	up	4.27432872431692
Aarg16G011620	tran	down	-2.68163485111315
Aarg16G016450	tran	up	2.13993110862598
Aarg17G003770	tran	down	-2.44626791277707
Aarg17G011460	tran	down	-3.96728899663199
Aarg17G014200	tran	down	-3.87651223031101
Aarg17G015890	tran	down	-7.27557303301955
Aarg17G019160	tran	down	-2.56988595026796
Aarg17G026080	tran	down	-3.22292721662223
Aarg17G031100	tran	down	-3.24676104286843
Aarg17G034850	tran	down	-11.0997105859751
Aarg17G034860	tran	down	-8.10729287744424
Aarg17G034910	tran	down	-2.08466511893935
Aarg17G037460	tran	down	-3.92975989090563
novel11547	tran	down	-5.65359010490015
novel11638	tran	down	-5.08912276094925
novel11808	tran	down	-3.81651085190344
novel12001	tran	down	-7.03437631620754
novel12269	tran	down	-3.55962680164153
novel12966	tran	down	-2.41609974114497
novel15154	tran	down	-5.31152032190459
novel19476	tran	down	-4.01535606026683
novel23955	tran	down	-6.26014735404472
novel23956	tran	down	-10.1336113348802
novel24349	tran	down	-7.95064498653864
novel2561	tran	down	-4.16411649993492
novel2964	tran	up	4.1206934104948
novel330	tran	down	-5.79225752070745
novel3730	tran	down	-4.17353121923756
novel4301	tran	down	-4.68644164077778
novel5110	tran	down	-7.37893290150874
