source	target	Class_A_source	Class_B_source	Class_A_target	Class_B_target
map00260	map00640	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00260	map00730	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Amino acid metabolism
map00260	map00600	Metabolism	Lipid metabolism	Metabolism	Amino acid metabolism
map00260	map00230	Metabolism	Nucleotide metabolism	Metabolism	Amino acid metabolism
map00261	map00260	Metabolism	Amino acid metabolism	Metabolism	Biosynthesis of other secondary metabolites
map00261	map00250	Metabolism	Amino acid metabolism	Metabolism	Biosynthesis of other secondary metabolites
map00261	map00400	Metabolism	Amino acid metabolism	Metabolism	Biosynthesis of other secondary metabolites
map00261	map00300	Metabolism	Amino acid metabolism	Metabolism	Biosynthesis of other secondary metabolites
map00270	map00430	Metabolism	Metabolism of other amino acids	Metabolism	Amino acid metabolism
map00270	map00010	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00270	map00970	Genetic Information Processing	Translation	Metabolism	Amino acid metabolism
map00270	map00620	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00270	map00260	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00270	map00480	Metabolism	Metabolism of other amino acids	Metabolism	Amino acid metabolism
map00270	map00640	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00270	map00330	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00270	map00730	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Amino acid metabolism
map00270	map00250	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00270	map00290	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00270	map00920	Metabolism	Energy metabolism	Metabolism	Amino acid metabolism
map00270	map00900	Metabolism	Metabolism of terpenoids and polyketides	Metabolism	Amino acid metabolism
map00270	map00770	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Amino acid metabolism
map00280	map00900	Metabolism	Metabolism of terpenoids and polyketides	Metabolism	Amino acid metabolism
map00280	map00640	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00280	map00240	Metabolism	Nucleotide metabolism	Metabolism	Amino acid metabolism
map00280	map00290	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00280	map00020	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00290	map00970	Genetic Information Processing	Translation	Metabolism	Amino acid metabolism
map00290	map00620	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00290	map00260	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00290	map00280	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00290	map00270	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00300	map00250	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00300	map00310	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00300	map00620	Metabolism	Carbohydrate metabolism	Metabolism	Amino acid metabolism
map00300	map00470	Metabolism	Metabolism of other amino acids	Metabolism	Amino acid metabolism
map00300	map00261	Metabolism	Biosynthesis of other secondary metabolites	Metabolism	Amino acid metabolism
map00300	map00260	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00310	map00780	Metabolism	Metabolism of cofactors and vitamins	Metabolism	Amino acid metabolism
map00310	map00470	Metabolism	Metabolism of other amino acids	Metabolism	Amino acid metabolism
map00310	map00300	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00310	map00330	Metabolism	Amino acid metabolism	Metabolism	Amino acid metabolism
map00330	map00970	Genetic Information Processing	Translation	Metabolism	Amino acid metabolism
