Index	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
MEDP736	213000	213000	181000	149000	182000	179000	173000	188000	186000	165000	144000	152000
MEDP739	22600	24300	23500	24300	25700	24400	21900	25500	20200	20600	20900	21700
MEDP747	253000	234000	235000	218000	173000	174000	175000	175000	168000	164000	159000	157000
MEDP751	315000	433000	306000	298000	384000	367000	332000	381000	348000	358000	369000	310000
MEDP752	64700000	82500000	72500000	80300000	129000000	125000000	116000000	130000000	108000000	115000000	121000000	115000000
MEDP766	77500	86500	79900	82300	99700	91200	74200	102000	76500	91200	106000	66300
MEDP772	97700	73300	98300	99000	134000	131000	125000	106000	104000	100000	97000	110000
MEDP778	427000	330000	461000	494000	343000	355000	380000	410000	345000	324000	303000	335000
MEDP779	427000	432000	457000	487000	456000	421000	351000	524000	336000	314000	292000	275000
MEDP782	2140000	2640000	1980000	1830000	1860000	1860000	1850000	1740000	1480000	1650000	1830000	1650000
MEDP783	96100	134000	145000	193000	322000	320000	315000	291000	171000	177000	184000	185000
MEDP789	670000	669000	658000	646000	602000	593000	575000	603000	617000	593000	570000	549000
MEDP792	373000	431000	400000	428000	591000	610000	648000	541000	890000	894000	898000	756000
MEDP794	373000	314000	365000	357000	557000	530000	476000	556000	676000	651000	625000	639000
MEDP796	778000	753000	738000	697000	659000	659000	658000	621000	705000	682000	659000	621000
MEDP799	8100000	7620000	7840000	7580000	7710000	7540000	7200000	7650000	7640000	7280000	6910000	7710000
MEDP800	20900000	21300000	19800000	18700000	18600000	18200000	17500000	19000000	18800000	18500000	18100000	18200000
MEDP811	43500	74000	42800	42100	39800	38300	35400	44300	50900	53900	56900	48000
MEDP812	734000	600000	640000	547000	712000	688000	639000	694000	574000	605000	636000	603000
MEDP814	425000	455000	403000	381000	471000	437000	368000	330000	271000	273000	274000	274000
MEDP817	529000	488000	460000	390000	392000	397000	408000	430000	259000	268000	276000	242000
MEDP818	290000	285000	274000	258000	237000	254000	288000	232000	275000	266000	257000	252000
MEDP820	645000	649000	666000	687000	847000	836000	815000	805000	752000	761000	770000	866000
MEDP821	8230000	8750000	9570000	10900000	18800000	18500000	17900000	17300000	8460000	7250000	6050000	5210000
MEDP831	263000	253000	251000	238000	227000	221000	208000	214000	335000	252000	169000	203000
MEDP835	83400000	93300000	82900000	82500000	72900000	73300000	74100000	73700000	73100000	70700000	68200000	70800000
MEDP836	58900000	66200000	58500000	58100000	48400000	47300000	45100000	50700000	38900000	40900000	42900000	44400000
MEDP839	198000	160000	176000	153000	142000	130000	107000	162000	134000	128000	122000	136000
MEDP844	2950000	2860000	2810000	2670000	2540000	2480000	2360000	2630000	2450000	2490000	2530000	2500000
MEDP845	1210000	1360000	1480000	1750000	3940000	4000000	4130000	4100000	1920000	1910000	1890000	2250000
MEDP849	64200	64400	74900	85600	300000	284000	251000	336000	461000	384000	307000	233000
MEDP853	45000000	53900000	47100000	49100000	67500000	66300000	63800000	67600000	78500000	77200000	75800000	67700000
MEDP856	320000	329000	324000	328000	302000	302000	302000	279000	292000	282000	273000	278000
MEDP859	5680000	5830000	6010000	6350000	4140000	4250000	4490000	3960000	5790000	6190000	6580000	5420000
MEDP860	9340000	6990000	8660000	7970000	9130000	10000000	11800000	8800000	16100000	12100000	8080000	11900000
MEDP863	6760000	6640000	6640000	6530000	6290000	6270000	6230000	6270000	6580000	6650000	6720000	6680000
MEDP865	679000	785000	712000	745000	679000	680000	683000	660000	723000	710000	696000	642000
MEDP868	431000	439000	411000	392000	534000	511000	464000	525000	644000	669000	694000	522000
MEDP871	1360000	1400000	1270000	1180000	798000	830000	894000	841000	623000	636000	650000	688000
MEDP872	3760000	2550000	2870000	1980000	2620000	2580000	2490000	2730000	3680000	2510000	1350000	2880000
MEDP877	46100	46500	35400	24800	88400	94100	105000	74900	11400	13000	14600	9
MEDP878	65400	42500	71400	77500	87800	99100	122000	71600	88100	67500	47000	57100
MEDP879	73200	80600	72600	72000	53800	53600	53400	57000	92500	60900	29300	46500
MEDP881	47700	48100	66400	85000	55400	64900	83800	68500	51200	40800	30400	18800
MEDP882	86400	94100	87000	87600	295000	266000	207000	235000	343000	306000	269000	248000
MEDP883	22500	30300	30000	37600	58000	55800	51500	58300	62300	59600	57000	56800
MEDP888	1000000	4680000	1000000	1010000	946000	913000	846000	889000	911000	897000	883000	836000
MEDP900	2390000	2370000	2280000	2170000	1520000	1430000	1260000	1180000	1280000	1820000	2360000	1870000
MEDP904	2860000	2830000	2700000	2530000	1780000	1680000	1490000	1390000	1470000	2110000	2740000	2150000
